code,name,tree
9407,植物新品种申请权权属纠纷,9407-9406-9363-9299-9000-
9408,植物新品种权权属纠纷,9408-9406-9363-9299-9000-
9409,侵害植物新品种权纠纷,9409-9406-9363-9299-9000-
9410,集成电路布图设计专有权权属、侵权纠纷,9410-9363-9299-9000-
9411,集成电路布图设计专有权权属纠纷,9411-9410-9363-9299-9000-
9412,侵害集成电路布图设计专有权纠纷,9412-9410-9363-9299-9000-
9413,侵害企业名称（商号）权纠纷,9413-9363-9299-9000-
9414,侵害特殊标志专有权纠纷,9414-9363-9299-9000-
9415,网络域名权属、侵权纠纷,9415-9363-9299-9000-
9416,网络域名权属纠纷,9416-9415-9363-9299-9000-
9417,侵害网络域名纠纷,9417-9415-9363-9299-9000-
9418,发现权纠纷,9418-9363-9299-9000-
9419,发明权纠纷,9419-9363-9299-9000-
9420,其他科技成果权纠纷,9420-9363-9299-9000-
9421,确认不侵害知识产权纠纷,9421-9363-9299-9000-
9422,确认不侵害专利权纠纷,9422-9421-9363-9299-9000-
9423,确认不侵害商标权纠纷,9423-9421-9363-9299-9000-
9424,确认不侵害著作权纠纷,9424-9421-9363-9299-9000-
9425,因申请知识产权临时措施损害责任纠纷,9425-9363-9299-9000-
9426,因申请诉前停止侵害专利权损害责任纠纷,9426-9425-9363-9299-9000-
9427,因申请诉前停止侵害注册商标专用权损害责任纠纷,9427-9425-9363-9299-9000-
9428,因申请诉前停止侵害著作权损害责任纠纷,9428-9425-9363-9299-9000-
9429,因申请诉前停止侵害植物新品种权损害责任纠纷,9429-9425-9363-9299-9000-
9430,因申请海关知识产权保护措施损害责任纠纷,9430-9425-9363-9299-9000-
9431,因恶意提起知识产权诉讼损害责任纠纷,9431-9363-9299-9000-
9432,专利权宣告无效后返还费用纠纷,9432-9363-9299-9000-
9433,不正当竞争纠纷,9433-9299-9000-
9434,仿冒纠纷,9434-9433-9299-9000-
9435,擅自使用知名商品特有名称、包装、装潢纠纷,9435-9434-9433-9299-9000-
9436,擅自使用他人企业名称、姓名纠纷,9436-9434-9433-9299-9000-
9437,伪造、冒用产品质量标志纠纷,9437-9434-9433-9299-9000-
9438,伪造产地纠纷,9438-9434-9433-9299-9000-
9439,商业贿赂不正当竞争纠纷,9439-9433-9299-9000-
9440,虚假宣传纠纷,9440-9433-9299-9000-
9441,侵害商业秘密纠纷,9441-9433-9299-9000-
9442,侵害技术秘密纠纷,9442-9441-9433-9299-9000-
9443,侵害经营秘密纠纷,9443-9441-9433-9299-9000-
9444,低价倾销不正当竞争纠纷,9444-9433-9299-9000-
9445,捆绑销售不正当竞争纠纷,9445-9433-9299-9000-
9446,有奖销售纠纷,9446-9433-9299-9000-
9447,商业诋毁纠纷,9447-9433-9299-9000-
9448,串通投标不正当竞争纠纷,9448-9433-9299-9000-
9449,垄断纠纷,9449-9299-9000-
9450,垄断协议纠纷,9450-9449-9299-9000-
9451,横向垄断协议纠纷,9451-9450-9449-9299-9000-
